Freq_GHz,Flux_mJy,Flux_stat_unc_mJy
1.135547,0.563,0.036
1.775574,1.685,0.035
2.051085,2.451,0.081
2.17909,2.63,0.11
2.307096,3.195,0.089
2.435101,3.358,0.071
2.563106,3.717,0.082
2.691112,3.868,0.096
2.819117,4.361,0.086
2.947122,4.682,0.091
3.051127,4.7,0.11
3.179132,4.901,0.095
3.307137,5.23,0.11
3.435143,5.431,0.095
3.563148,5.5,0.11
3.691153,5.62,0.12
3.819159,5.74,0.13
3.947164,5.84,0.13
4.039168,5.38,0.11
4.167173,5.71,0.11
4.295178,5.807,0.084
4.423184,5.43,0.11
4.551189,5.75,0.1
4.679194,5.72,0.11
4.807199,5.44,0.12
4.935205,5.751,0.05
5.06321,5.693,0.079
5.191215,5.64,0.12
5.319221,5.74,0.12
5.447226,5.84,0.12
5.575231,5.86,0.076
5.703237,5.895,0.071
5.831242,5.484,0.086
5.959247,5.688,0.092
6.039251,5.679,0.076
6.167256,6.104,0.091
6.295261,5.06,0.12
6.423267,5.915,0.075
6.551272,4.85,0.13
6.679277,5.217,0.084
6.807282,5.185,0.082
6.935288,5.291,0.056
7.063293,5.144,0.061
7.191298,5.134,0.074
7.319304,4.45,0.11
7.447309,4.969,0.091
7.575314,5.495,0.088
7.70332,5.09,0.059
7.831325,4.895,0.086
7.95933,4.908,0.097
8.039333,4.947,0.074
8.167339,4.625,0.087
8.295344,4.59,0.067
8.423349,4.664,0.085
8.551355,4.841,0.07
8.67936,4.26,0.11
8.807365,4.53,0.1
8.935371,4.674,0.071
9.063376,4.654,0.06
9.191381,4.377,0.077
9.319387,4.754,0.058
9.447392,4.822,0.061
9.575397,4.224,0.085
9.703402,4.275,0.067
9.831408,4.469,0.058
9.959413,4.18,0.067
10.03942,4.499,0.067
10.16742,4.807,0.064
10.29543,4.755,0.057
10.42343,4.675,0.057
10.55144,4.432,0.062
10.67944,4.373,0.063
10.80745,3.703,0.085
10.93545,4.057,0.08
11.06346,4.134,0.065
11.19146,3.939,0.076
11.31947,3.933,0.062
11.44747,4.187,0.063
11.57548,3.719,0.064
11.70349,4.035,0.064
11.83149,3.919,0.084
11.9595,3.722,0.086
12.0395,3.598,0.063
12.1675,3.637,0.054
12.29551,3.3,0.063
12.42352,3.312,0.059
12.55152,3.263,0.061
12.67953,3.454,0.059
12.80753,3.38,0.057
12.93554,3.323,0.058
13.06354,3.111,0.06
13.19155,3.374,0.054
13.31955,3.162,0.05
13.44756,3.1,0.057
13.57556,3.073,0.061
13.70357,3.112,0.06
13.83157,3.171,0.058
13.95958,3.471,0.056
14.03958,3.048,0.057
14.16759,3.054,0.052
14.29559,3.075,0.049
14.4236,3.108,0.051
14.5516,3.01,0.05
14.67961,2.949,0.05
14.80761,3.037,0.049
14.93562,2.997,0.052
15.06362,2.955,0.054
15.19163,2.761,0.062
15.31964,2.902,0.063
15.44764,2.864,0.056
15.57565,2.816,0.055
15.70365,2.949,0.053
15.83166,2.817,0.059
15.95966,2.843,0.089
16.03966,2.862,0.06
16.16767,2.629,0.062
16.29568,2.776,0.056
16.42368,2.623,0.06
16.55169,2.58,0.063
16.67969,2.534,0.063
16.8077,2.706,0.066
17.19171,2.689,0.064
17.31972,2.109,0.088
